Unnamed: 0,Crisis,Year,Type of Crisis,Full Date
1404,The IRA agreed to a truce in 1994. This marked the beginning of the end of 25 years of violence between the IRA and the United Kingdom and the start of political negotiations.,1994,Ireland,
1405,"26 April 1994: China Airlines Flight 140, an Airbus A300, crashed just as it was about to land at Nagoya Airfield, Japan, killing 264 and leaving only seven survivors.",1994,Infrastructure,
1406,"8 September 1994: USAir Flight 427 crashed near Pittsburgh, Pennsylvania, killing 132 people.",1994,Infrastructure,
1407,"28 September 1994: The car ferry MS Estonia sinks in the Baltic Sea, killing 852 people.",1994,Infrastructure,
1408,The DVD media format is developed and popularized along with a plethora of Flash memory card standards in 1994.,1994,Technology,
1409,"On 14 November 1994 Eurostar services began between Waterloo International station in London, Gare du Nord in Paris and Brussels South in Brussels.[48][49][50] In 1995 Eurostar was achieving an average end-to-end speed of 171.5 km/h (106.6 mph) between London and Paris.[51] On 8 January 1996 Eurostar launched services from a second railway station in the UK when Ashford International was opened.[52] Journey times between London and Brussels were reduced by the opening of the High Speed 1 line on 14 December 1997.",1994,Infrastructure,
1410,"Transdisciplinarity in academia. The 1st World Congress of Transdisciplinarity, Convento da Arrabida, was in Portugal, November 1994.",1994,Legal,
1411,"The birth of the ""Second Republic"" in Italy, with the Mani Pulite investigations of 1994.",1994,Europe,
1412,"The Channel Tunnel across the English Channel opens in 1994, connecting France and England. As of 2022 it is the third-longest rail tunnel in the world, but with the undersea section of 37.9 km (23.5 mi) being the longest undersea tunnel in the world.",1994,Infrastructure,
1413,"Scandal rocked the sport of figure skating when skater Nancy Kerrigan was attacked during practice by an assailant hired by Jeff Gillooly, former husband of skater Tonya Harding. The attack was carried out in an attempt to injure Kerrigan's leg to the point of her being unable to compete in the upcoming 1994 Winter Olympics, thereby securing Harding a better spot to win a gold medal.",1994,Sports,
1414,"Major League Baseball players went on strike on 12 August 1994, thus ending the season and canceling the World Series for the first time in 90 years. The players' strike ended on 29 March 1995, when players and team owners agreed.",1994,Sports,
1415,"Oklahoma City bombing kills 168 and wounds 800. The bombing is the worst domestic terrorist incident in U.S. history, and the investigation results in the arrests of Timothy McVeigh and Terry Nichols.",1995,Domestic Terror,
1416,"Retired professional football player O. J. Simpson is acquitted of two charges of first-degree murder in the 1994 slayings of his ex-wife, Nicole Brown Simpson, and Ronald Goldman. The nine-month trial receives worldwide publicity.",1995,Cultural,
1417,"A heat wave kills 739 in Chicago, bringing to attention the plight of the urban poor and the elderly in extreme weather conditions.",1995,Natural Disaster,
1418,A budget crisis forces the federal government to shut down for several weeks.,1995,Economics,
1419,"The final fighting in the Croatian and Bosnian wars ended in 1995 with the success of Croatian military offensives against Serb forces. This led to the mass exodus of Serbs from Croatia, Serb losses to Croat and Bosniak forces, and the signing of the Dayton Agreement, which internally partitioned Bosnia and Herzegovina into a Republika Srpska and a Bosniak-Croat Federation.",1995,Europe,
1420,Srebrenica genocide in Bosnia and Herzegovina (1995) – soldiers of the Army of Republika Srpska and members of Serbia's Scorpions paramilitary group committed mass murder of Bosniak civilians.[citation needed],1995,Europe,
1421,"Oklahoma City bombing (1995) in the United States – the bombing of a federal building in Oklahoma City, Oklahoma killed 168 people, becoming the deadliest terrorist attack in the United States at that time. Suspect Timothy McVeigh claimed he bombed the building in retaliation for the 1992 Ruby Ridge standoff and the Waco siege a year later.[13]",1995,Domestic Terror,
1422,"After the collapse of the Meech Lake constitutional accord in 1990, the province of Quebec in Canada experienced a rekindled wave of separatism by Francophone Québécois nationalists, who sought for Quebec to become an independent country and forced a referendum on the question of independence in 1995.",1995,Canada,
1423,"The 1995 Quebec referendum on sovereignty was held in the predominantly francophone province of Quebec in Canada, a majority Anglophone country. If accepted, Quebec would have become an independent country with an economic association with Canada. Quebec's voters narrowly rejected the proposal.",1995,Canada,
1424,"On 4 November 1995, Israeli Prime Minister Yitzhak Rabin was assassinated by a right-wing extremist who opposed the signing of the Oslo Accords.",1995,Middle East,
1425,"July 1995 – Midwestern United States heat wave – An unprecedented heat wave strikes the Midwestern United States for most of the month. Temperatures peak at 106 °F (41 °C), and remain above 94 °F (34 °C) in the afternoon for 5 straight days. At least 739 people died in Chicago alone.",1995,Natural Disaster,
1426,"29 June 1995: The Sampoong Department Store collapses in Seoul, South Korea, killing 502 people.",1995,Infrastructure,
1427,"20 December 1995: American Airlines Flight 965, a Boeing 757, hit a mountain in Colombia at night, killing 159 people.",1995,Infrastructure,
1428,"Most of Europe enjoyed growing prosperity during the 1990s. However, problems including the massive 1995 general strikes in France following a recession and the difficulties associated with German reunification led to sluggish growth in these countries. However, the French and German economies improved in the latter half of the decade. Meanwhile, the economies of Spain, Scandinavia and former Eastern Bloc countries accelerated at rapid speed during the decade. Unemployment rates were low due to many having experienced a deep recession at the start of the decade.",1995,Economics,
1429,SolidWorks computer-aided design software for Windows released in 1995.,1995,Technology,
1430,Macromedia Shockwave Player for multimedia in browsers released in 1995.,1995,Technology,
1431,"Global warming as an aspect of climate change also became a major concern, and the creation of the United Nations Framework Convention on Climate Change (UNFCCC) after the Earth Summit helped coordinate efforts to reduce carbon emissions in the atmosphere. From 1995, the UNFCCC held annual summits on climate change, leading to the adoption of the Kyoto Protocol in December 1997, a binding agreement signed by several developed countries.[57]",1995,Science  ,
1432,"In popular culture, British pop group the Spice Girls also played a part in the feminist movement, boosting popularity with their slogan ""Girl Power!"", while country music superstar Shania Twain declared female supremacy in her 1995 hit song ""Any Man of Mine.""",1995,Feminism,
1433,"O. J. Simpson murder case – O. J. Simpson's trial, described in the American media as the ""trial of the century"", proceeds for nearly a year under intense media publicity. A majority of the trial was broadcast nightly during prime time television. On 3 October 1995, Simpson was found not guilty of the double-murder of ex-wife Nicole Brown Simpson and her friend, Ronald Goldman.",1995,Crime,
1434,"The closing Mass of the X World Youth Day 1995 was held in Rizal Park on 15 January 1995, attended by more than 5 million people. This is the record gathering of the Roman Catholic Church.",1995,Religion,
1435,TWA Flight 800 explodes off Long Island killing all 230 aboard.,1996,Infrastructure,
1436,Khobar Towers bombing leaves 19 U.S. servicemen dead in Saudi Arabia.,1996,Middle East,
1437,Centennial Olympic Park bombing at Summer Olympics in Atlanta kills 1 and injures 111.,1996,Sports,
1438,"U.S. presidential election, 1996: Bill Clinton is re-elected president, Al Gore is re-elected vice president.",1996,Politics,
1439,"The First Congo War (24 October 1996 – 16 May 1997) resulted in the overthrow of dictator Mobutu Sese Seko, his 32 rule of Zaire, which was then renamed the Democratic Republic of the Congo.",1996,Africa,
1440,"The Islamic Emirate of Afghanistan (1996–2001) was formed at the end of the Afghan Civil War, when the Taliban seized control of Afghanistan in 1996. They ruled during the later Afghan Civil War until their ousting 2001.",1996,Middle East,
1441,"The 1996 Manchester bombing (1996) – on 15 June 1996, the IRA set off a bomb in Manchester, England. The bomb, placed in a van on Corporation Street in the city center, targeted the city's infrastructure and economy and caused widespread damage, estimated by insurers at £700 million (£1 billion as of 2011). Two hundred and twelve people were injured, but there were no fatalities.",1996,Ireland,
1442,"California voters passed Proposition 215 in 1996, which legalized cannabis for medicinal purposes.",1996,Health,
1443,"September 1996 – Hurricane Fran made landfall in North Carolina, causing significant damage throughout the entire state.",1996,Natural Disaster,
1444,"17 July 1996: Trans World Airlines Flight 800, a Boeing 747-131 exploded and crashed into the Atlantic Ocean near East Moriches, New York, killing 230.",1996,Infrastructure,
1445,"12 November 1996: A Saudia Boeing 747 and a Kazakhstan Airlines Ilyushin Il-76 collided over the town of Charkhi Dadri, outside New Delhi, India, killing 349.",1996,Infrastructure,
1446,"In 1996, (Anderson, et al. v. Pacific Gas & Electric, file BCV 00300) alleged contamination of drinking water with hexavalent chromium and the case was settled for (US) $333 million, a new record for a direct-action lawsuit.",1996,Science  ,
1447,"Sparked by a global economic crisis scare, the Dow Jones Industrial Average follows world markets and plummets 554.26, or 7.18%, to 7,161.15.",1997,Economics,
1448,President Clinton and Vice President Gore begin their second terms.,1997,Politics,
1449,Handover of Hong Kong (1997) – The United Kingdom handed sovereignty of Hong Kong (then British Hong Kong) to the People's Republic of China on 1 July 1997.,1997,Asia ,
1450,Tony Blair became Prime Minister in 1997 following a general election.,1997,England,
1451,"The National Assembly for Wales was established following the 1997 Welsh devolution referendum, in which a majority of voters approved the creation of the National Assembly for Wales.[21]",1997,England,
1452,"In September 1997, the 1997 Scottish devolution referendum was put to the Scottish electorate and secured a majority in favor of the establishment of a new Scottish Parliament.[22][23]",1997,England,
1453,A flood hits the Red River Valley in 1997 becoming the most severe flood since 1826.,1997,Natural Disaster,
1454,"6 August 1997: Korean Air Flight 801, a Boeing 747-300, crashed into a hill on the island of Guam, killing 228 people.",1997,Infrastructure,
1455,"26 September 1997: Garuda Indonesia Flight 152 crashed in bad weather, killing 234.",1997,Infrastructure,
1456,"In the People's Republic of China, the government announced the major privatization of state-owned industries in September 1997. China entered the 1990s in a turbulent period due to the aftermath of both the Tiananmen Square Massacre and hardline politicians' efforts to rein in private enterprise and attempt to revive old-fashioned propaganda campaigns. Relations with the United States deteriorated sharply, and the Chinese leadership was further embarrassed by the disintegration of communism in Europe. In 1992 Deng Xiaoping travelled to southern China in his last major public appearance to revitalize faith in market economics and stop the country's slide back into Maoism. Afterward, China recovered and would experience explosive economic growth during the rest of the decade. Despite this, dissent continued to be suppressed, and Communist Party General Secretary Jiang Zemin launched a brutal crackdown against the Falun Gong religious sect in 1999. Deng Xiaoping died in 1997 at the age of 93. Relations with the US deteriorated again in 1999 after the bombing of the Chinese embassy during the bombing of Serbia by NATO forces, which caused three deaths, and allegations of Chinese espionage at the Los Alamos Nuclear Facility.",1997,Economics,
1457,"Financial crisis hits East and Southeast Asian countries between 1997 and 1998 after a long period of phenomenal economic development, which continues into 1999. This crisis begins to be felt by the end of the decade.",1997,Economics,
1458,"The 1990s were a revolutionary decade for digital technology. Between 1990 and 1997, household PC ownership in the US rose from 15% to 35%.[42] Cell phones of the early-1990s and earlier ones were very large, lacked extra features, and were used by only a few percent of the population of even the advanced nations. Only a few million people used online services in 1990, and the World Wide Web, which would have a significant impact on technology for many decades, had only just been invented. The first web browser went online in 1993.[43] By 2001, more than 50% of some Western countries had Internet access, and more than 25% had cell phone access.",1997,Technology,
1459,Winamp media player first released 1997.,1997,Technology,
1460,"In the United Kingdom, the first cloned mammal, Dolly the sheep was confirmed by the Roslin Institute, and was reported by global media on 26 February 1997. Dolly would trigger a raging controversy on cloning, and bioethical concerns regarding possible human cloning continue to this day.[53]",1997,Science  ,
1461,"The Hale–Bopp comet swings past the Sun for the first time in 4,200 years in April 1997.",1997,Science  ,
1462,"In Paris, Diana, Princess of Wales and her fiancé, Dodi Al-Fayed, were killed in a car accident in August 1997, when their chauffeured, hired Mercedes-Benz S-Class crashed in the Pont de l'Alma tunnel. The chauffeur, Henri Paul, died at the scene, as did Al-Fayed. Diana and an Al-Fayed bodyguard, Trevor Rees-Jones, survived the accident. The Princess of Wales died at a Paris hospital hours later. The bodyguard, Rees-Jones, is the sole survivor of the now infamous accident.[60]",1997,Cultural,
1463,"With help from clinical fertility drugs, an Iowa mother, Bobbie McCaughey, gave birth to the first surviving septuplets in 1997. There followed a media frenzy and widespread support for the family.",1997,Health,
1464,"American singer-songwriter, guitarist, and actor John Denver died in a plane crash in Monterey Bay near Pacific Grove on 12 October 1997.",1997,Cultural,
1465,"The hugely successful Harry Potter series by J. K. Rowling was introduced in 1997. The series, with seven main novels, would go on to become the best-selling book series in world history and adapted into a film series in 2001.",1997,Cultural,
1466,"In the 1998 United States elections, the Republicans hold both the House and the Senate.",1998,Politics,
1467,Clinton-Lewinsky scandal: President Clinton is accused of having a sexual relationship with 22-year-old White House intern Monica Lewinsky. This leads to the impeachment of Clinton later in the year by the U.S. House of Representatives. Clinton is acquitted of all impeachment charges of perjury and obstruction of justice in a 21-day Senate trial.,1998,Politics,
1468,The Second Congo War (August 1998 – July 2003) started in Central Africa and involved multiple nearby nations.,1998,Africa,
1469,The Eritrean–Ethiopian War (1998–2000) was commenced by the invasion of Ethiopia by Eritrea due to a territorial dispute.[7] The conflict resulted in tens of thousands of deaths on both sides[8] and a peace agreement in December 2000.[9],1998,Africa,
1470,"The Kosovo War (1998–1999) was a war between Albanian separatists and Yugoslav military and Serb paramilitary forces in Kosovo. That conflict began in 1996 and escalated in 1998, with increasing reports of atrocities.",1998,Europe,
1471,"The Troubles in Northern Ireland (1998) involved 30 years of conflict that ended on 10 April 1998, when the Good Friday Agreement was signed.",1998,Ireland,
1472,"The 1998 United States embassy bombings – Al-Qaeda militants carried out bomb attacks on United States embassies in Kenya and Tanzania. In retaliation, U.S. naval military forces launched cruise missile attacks against Al-Qaeda bases in Afghanistan.",1998,Middle East,
1473,"The Omagh bombing in Northern Ireland (1998) – a bombing in Omagh, County Tyrone, that killed 29 civilians and injured hundreds more.",1998,Ireland,
1474,"Lewinsky scandal – US president Bill Clinton was caught in a media-frenzied scandal involving inappropriate relations with White House intern Monica Lewinsky, which was first announced on 21 January 1998. After the United States House of Representatives impeached Bill Clinton on 19 December 1998, for perjury under oath, and following an investigation by federal prosecutor Kenneth Starr, the Senate acquitted Clinton of all charges on 12 February 1999. He served out the remainder of his second term.",1998,Politics,
1475,"Indonesian President Suharto resigned after ruling the country for 32 years (1966–1998), following the riots on several cities in Indonesia. His resignation marked the beginning of the Reform era.",1998,Australasia,
1476,"The Belfast Agreement (a.k.a. the Good Friday Agreement) was signed by the U.K. and Irish politicians on 10 April 1998, declaring a joint commitment to a peaceful resolution of the territorial dispute between Ireland and the United Kingdom over Northern Ireland. The 1998 Northern Ireland Good Friday Agreement referendum was held on 22 May 1998, with majority approval.[20]",1998,Ireland,
1477,"2 September 1998: Swissair Flight 111, a McDonnell Douglas MD-11, crashed into the Atlantic Ocean off Nova Scotia near the towns of Peggy's Cove and Bayswater, killing 229.",1998,Infrastructure,
1478,"U.S. inflation moderated, beginning in 1990 at 5.39%, falling to a low of 1.55% in 1998 and rising slightly to 2.19% in 1999.[39]",1998,Economics,
1479,"The first MP3 player, the MPMan, is released in the late spring of 1998. It came with 32 MB of flash memory expandable to 64 MB. By the mid-2000s, the MP3 player would overtake the CD player in popularity.",1998,Technology,
1480,"Apple Computer in 1998 introduces the iMac all-in-one computer, initiating a trend in computer design towards translucent plastics and multicolour case design, discontinuing many legacy technologies like serial ports, and beginning a resurgence in the company's fortunes that continues to this day.",1998,Technology,
1481,"The Philippines celebrates the 100th anniversary of Philippine Independence in 1998 with its theme: ""Kalayaan: Kayamanan ng Bayan.""",1998,Asia ,
1482,"The Dow Jones Industrial Average closes above the 10,000 mark for the first time, at 10,006.78.",1999,Economics,
1483,"Teenage students Eric Harris and Dylan Klebold murder 12 other students and one teacher at Columbine High School, sparking an international debate on gun control and bullying.",1999,Gun Violence,
1484,A violent tornado outbreak in Oklahoma kills 50 people and becomes the first to produce a tornado that causes $1 billion in damage.,1999,Natural Disaster,
1485,"The first officer deliberately crashes EgyptAir Flight 990 south of Nantucket, Massachusetts, killing 217.",1999,Domestic Terror,
1486,"Along with the rest of the world, the U.S. prepares for the possible effects of the Y2K bug in computers, which was feared to cause computers to become inoperable and wreak havoc. The problem isn't as large as theorized, preparations are successful, and disaster is averted.",1999,Cultural,
1487,"The Second Chechen War (1999 – 2009) was started by the Russian Federation in response to the 1999 invasion of Dagestan and the Russian apartment bombings, which were blamed on the Chechens. In this military campaign, Russian forces largely recaptured the separatist region of Chechnya[citation needed] and the outcome of the First Chechen War – in which the region gained de facto independence as the Chechen Republic of Ichkeria – was essentially reversed.",1999,Europe,
1488,"The Kargil War (1999) began in May when Pakistan covertly sent troops to occupy strategic peaks in Kashmir. A month later, the Kargil War with India resulted in a political fiasco for Pakistani Prime Minister Nawaz Sharif, followed by a Pakistani military withdrawal to the Line of Control. The incident led to a Pakistani military coup in October, in which Sharif was ousted by Army Chief Pervez Musharraf. This conflict remains the only war fought between the two declared nuclear powers.",1999,Middle East,
1489,"In 1999, the NATO, led by the United States, launched air attacks against Yugoslavia (then composed of only Serbia and Montenegro) to pressure the Yugoslav government to end its military operations against Albanian separatists in Kosovo. The intervention lacked UN approval yet was justified by NATO based on accusations of war crimes committed by Yugoslav military forces working alongside nationalist Serb paramilitary groups. Finally, after months of bombing, Yugoslavia conceded to NATO's demands, and NATO forces (later UN peacekeeping forces) occupied Kosovo.",1999,Foreign,
1490,1999 East Timorese crisis.,1999,Australasia,
1491,"LAX bombing plot (1999) – Ahmed Ressam, an Islamist militant associated with Al-Qaeda, was arrested when attempting to cross from Canada into the United States at the Canada-U.S. border on 14 December 1999. It was later discovered that he intended to bomb Los Angeles International Airport (LAX) during millennium celebrations. This was the first major attempted terrorist attack by Al-Qaeda on United States soil since the 1993 World Trade Center bombing and marked the beginning of a series of attempted terrorist attacks by Al-Qaeda against the United States that would continue into the 21st century.",1999,Domestic Terror,
1492,"Independence of East Timorese (1999) – East Timor broke away from Indonesian occupation, only a year after the fall of Suharto from power, ending a 24-year guerrilla war and genocide with more than 200,000 casualties. The UN deployed a peacekeeping force spearheaded by Australia's armed forces. The United States deployed police officers to serve with the Interpol element to help train and equip an East Timorese police force.",1999,Australasia,
1493,Handover of Macau (1999) – Portugal handed sovereignty of Macau (Portuguese Macau) to the People's Republic of China on 20 December 1999.,1999,Europe,
1494,"The Perestroika (restructuring) of the Soviet Union destabilized, leading to nationalist and separatist demagogues gaining popularity. Boris Yeltsin, then chairman of the Supreme Soviet of Russia, resigned from the Communist Party and became the opposition leader against Mikhail Gorbachev. The Communist Party lost its status as the governing force of the country and was banned after a coup attempt by communist hardliners attempted to revert the effects of Gorbachev's policies. Yeltsin's counter-revolution was victorious, and on 25 December 1991, Gorbachev resigned from the presidency, which led to the dissolution of the Soviet Union. Yeltsin became president of the Soviet Union's successor, the Russian Federation, and presided over a period of political unrest, economic crisis, and social anarchy. On 31 December 1999, Yeltsin resigned, leaving Vladimir Putin as acting president.",1999,Cold War,
1495,"In December 1999, torrential rains and flash floods killed tens of thousands of Venezuelans living in the state of Vargas in a natural disaster known as the Vargas tragedy.",1999,Natural Disaster,
1496,"31 October 1999: EgyptAir Flight 990, a Boeing 767, crashed off the coast of Nantucket, Massachusetts, killing 217.",1999,Infrastructure,
1497,The anti-globalization protests in the World Trade Organization Ministerial Conference of 1999 in Seattle began on 30 November 1999. This marked the beginning of a steady increase in anti-globalization protests in the first decade of the 21st century and increasing hostility to neoliberalism.,1999,Economics,
1498,The G20 or Group of Twenty formed on 26 September 1999.,1999,Economics,
1499,"The decade is seen as a time of great prosperity in the United States and Canada, largely because of the unexpected advent of the Internet and the explosion of technology industries. The US and Canadian economies experienced their longest period of peacetime economic expansion, beginning in 1991. Personal incomes doubled from the recession in 1990, and there was higher productivity overall. The New York Stock Exchange stayed over the 10,500 mark from 1999 to 2001.",1999,Economics,
1500,"The Euro is adopted by the European Union on 1 January 1999, which begins a process of phasing out the former national currencies of EU countries.",1999,Economics,
1501,"Y2K spread fear throughout the United States and eventually the world in the last half of the decade, particularly in 1999, about possible massive computer malfunctions on 1 January 2000. As a result, many people stocked up on supplies for fear of a worldwide disaster. After significant effort to upgrade systems on the part of software engineers, no failures occurred when the clocks rolled over into 2000.",1999,Technology,
1502,The resignation of President Boris Yeltsin on 31 December 1999 resulted in Prime Minister Vladimir Putin's succession to the position.,1999,Cold War,
1503,"Eric Harris and Dylan Klebold kill 13 people and then themselves during the Columbine High School shooting in April 1999, which would inspire a number of future school shooters to commit similar offenses.",1999,Gun Violence,
1504,"John F. Kennedy Jr., his wife Carolyn Bessette and sister-in-law Lauren Bessette are killed when Kennedy's private plane crashes off the coast of Martha's Vineyard in July 1999.",1999,Cultural,
1505,"The Arleigh Burke-class destroyer, the USS Cole (DDG-67) is bombed in Yemeni waters, killing seventeen U.S. Navy sailors.",2000,Middle East,
1506,"U.S. presidential election, 2000: Initial result inconclusive and the result in Florida is disputed. George W. Bush is certified president after a Supreme Court ruling. Al Gore wins the nationwide popular vote but loses the electoral college. Dick Cheney is certified vice president.",2000,Politics,
1507,Arab–Israeli conflict (1948 – present),2000,Middle East,
1508,Israeli–Palestinian conflict (Early 20th century – present),2000,Middle East,
1509,"The Second Chechen War (1999–2000) – the war was launched by the Russia on August 26, 1999, in response to the war in Dagestan and the 1999 Russian apartment bombings, which were blamed on the Chechens. During the war, Russian forces largely recaptured the separatist region of Chechnya.[48] The campaign largely reversed the outcome of the First Chechen War, in which the region gained de facto independence as the Chechen Republic of Ichkeria.",2000,Europe,
1510,The Eritrean–Ethiopian War came to a close in 2000.,2000,Africa,
1511,Somali Civil War (1991–present),2000,Africa,
1512,Civil war in Chad (1998–present),2000,Africa,
1513,"2000 overthrow of Slobodan Milošević in the Federal Republic of Yugoslavia – after Slobodan Milošević was accused by opposition figures of winning the 2000 election through electoral fraud, mass protests led by the opposition movement Otpor! pressure Slobodan Milošević to resign. Milošević was later arrested in 2001 and sent to the Hague to face war crimes charges for his alleged involvement in war crimes of the Yugoslav Wars.",2000,Europe,
1514,"Kosovo declares independence from Serbia in 2008, though its independence still remains unrecognized by many countries.",2000,Europe,
1515,"During the 2000s, the expectations and unspoken rules for acceptable conduct among American politicians affiliated with the Republican or Democratic Parties changed due to the decline of political bosses in the previous 4 decades and the momentous events in America that happened during the decade.[87]",2000,Politics,
1516,"Generally, American presidential candidates abided by and respected the established procedures of both major parties' presidential nomination process.[87]",2000,Politics,
1517,"Antibiotic resistance is a serious and growing phenomenon in contemporary medicine and has emerged as one of the eminent public health concerns of the 21st century, particularly as it pertains to pathogenic organisms (the term is not especially relevant to organisms which don't cause disease in humans).",2000,Health,
1518,"The outbreak of foot-and-mouth disease in the United Kingdom in 2001 caused a crisis in British agriculture and tourism. This epizootic saw 2,000 cases of the disease in farms across most of the British countryside. Over 6 million sheep and cattle were killed.[119]",2000,Health,
1519,"The Walkerton Tragedy is a series of events that accompanied the contamination of the water supply of Walkerton, Ontario, Canada, by Escherichia coli bacteria in May 2000. Starting May 11, 2000, many residents of the community of about 5,000 people began to simultaneously experience bloody diarrhea, gastrointestinal infections and other symptoms of E. coli infection. Seven people died directly from drinking the E. coli contaminated water, who might have been saved if the Walkerton Public Utilities Commission had admitted to contaminated water sooner, and about 2,500 became ill.",2000,Health,
1520,"On January 31, 2000, Alaska Airlines Flight 261 crashed into the Pacific Ocean off the coast of California after the plane's jackscrew failed, killing all 88 on board.",2000,Infrastructure,
1521,"On July 25, 2000, Air France Flight 4590, a Concorde aircraft, crashed into a hotel in Gonesse just after takeoff from Paris, killing all 109 aboard and 4 in the hotel. This was the only Concorde accident in which fatalities occurred. It was the beginning of the end for Concorde as an airliner; the type was retired three years later.",2000,Infrastructure,
1522,"On August 12, 2000, the Russian submarine K-141 Kursk sank in the Barents Sea, killing all 118 men on board.",2000,Infrastructure,
1523,"On November 11, 2000, the Kaprun disaster occurred. 155 people perished in a fire that broke out on a train in the Austrian Alps.",2000,Infrastructure,
1524,"The most significant evolution of the 2000s in the economic landscape was the long-time predicted breakthrough of economic giant China, whose GDP grew from 1.21 trillion to 5.1 trillion (in 2022 USD).[124] To a lesser extent, India also benefited from an economic boom (growing from 438.39 billion to 1.34 trillion)[125] which saw the two most populous countries becoming an increasingly dominant economic force.[126] The rapid catching-up of emerging economies with developed countries sparked some protectionist tensions during the period and was partly responsible for an increase in energy and food prices at the end of the decade. The economic developments in the latter third of the decade were dominated by a worldwide economic downturn, which started with the crisis in housing and credit in the United States in late 2007, and led to the bankruptcy of major banks and other financial institutions.[127] The outbreak of this global financial crisis sparked a global recession, beginning in the United States and affecting most of the industrialized world.",2000,Economics,
1525,A study by the World Institute for Development Economics Research at United Nations University reports that the richest 1% of adults alone owned 40% of global assets in the year 2000. The three richest people possess more financial assets than the lowest 48 nations combined.,2000,Economics,
1526,"The period takes its name from Gordon Brown, the then UK Chancellor of the Exchequer (who later became Prime Minister), who decided to sell approximately half of the UK's gold reserves in a series of auctions. At the time, the UK's gold reserves were worth about US$6.5 billion, accounting for about half of the UK's US$13 billion foreign currency net reserves.[135]",2000,Economics,
1527,"The United States (U.S. $14.26 trillion) retained its position of possessing the world's largest economy. However, the size of its contribution to the total global economy dropped from 28.8% to 24.5% by nominal price or a fall from 23.8% to 20.4% adjusted for purchasing power.",2000,Economics,
1528,"Japan (U.S. $5.07 trillion) retained its position of possessing the second largest economy in the world, but its contribution to the world economy also shrank significantly from 14.5% to 8.7% by nominal price or a fall from 7.8% to 6.0% adjusted for purchasing power.",2000,Economics,
1529,"Brazil (U.S. $1.57 trillion) retained its position as the 8th largest economy, followed by Spain (U.S. $1.46 trillion), which remained at 10th.",2000,Economics,
1530,"Other major economies included Canada (U.S. $1.34 trillion; 10th, down from 9th), India (U.S. $1.31 trillion; remaining at 11th from 12th), Russia (U.S. $1.23 trillion; from 16th to 12th) Mexico (U.S. $875 billion; 14th, down from 11th), Australia (U.S. $925 billion; from 14th to 13th) and South Korea (U.S. $832 billion; 15th, down from 13th).",2000,Economics,
1531,"In terms of purchasing power parity in 2009, the ten largest economies were the United States (U.S. $14.26 trillion), China (U.S. $9.10 trillion), Japan (U.S. $4.14 trillion), India (U.S. $3.75 trillion), Germany (U.S. $2.98 trillion), Russia (U.S. $2.69 trillion), United Kingdom (U.S. $2.26 trillion), France (U.S. $2.17 trillion), Brazil (U.S. $2.02 trillion), and Italy (U.S. $1.92 trillion).[143][144]",2000,Economics,
1532,"The average house price in the UK, increased by 132% between the fourth quarter of 2000, and 91% during the decade; but the average salary increased only by 40%.[145]",2000,Economics,
1533,"The removal of trade and investment barriers, the growth of domestic markets, artificially low currencies, the proliferation of education, the rapid development of high tech and information systems industries and the growth of the world economy lead to a significant growth of offshore outsourcing during the decade as many multinational corporations significantly increased subcontracting of manufacturing (and increasingly, services) across national boundaries in developing countries and particularly in China and India, due to many benefits and mainly because the two countries which are the two most populous countries in the world provide huge pools from which to find talent and as because both countries are low cost sourcing countries. As a result of this growth, many of these developing countries accumulated capital and started investing abroad. Other countries, including the United Arab Emirates, Australia, Brazil and Russia, benefited from increased demand for their mineral and energy resources that global growth generated. The hollowing out of manufacturing was felt in Japan and parts of the United States and Europe which had not been able to develop successful innovative industries. Opponents point out that the practice of offshore outsourcing by countries with higher wages leads to the reduction of their own domestic employment and domestic investment. As a result, many customer service jobs as well as jobs in the information technology sectors (data processing, computer programming, and technical support) in countries such as the United States and the United Kingdom have been or are potentially affected",2000,Economics,
1534,"2000 – Beginning on November 2, 2000, the International Space Station has remained continuously inhabited. The Space Shuttles helped make it the largest space station in history, despite one of the Shuttles disintegrating upon re-entry in 2003. By the end of 2009 the station was supporting 5 long-duration crew members.",2000,NASA,
1535,Automotive navigation systems become widely popular making it possible to direct vehicles to any destination in real-time as well as detect traffic and suggest alternate routes with the use of GPS navigation devices.,2000,Technology,
1536,Greater interest in future energy development due to global warming and the potential exhaustion of crude oil. Photovoltaics increase in popularity as a result.,2000,Technology,
1537,"The Hybrid vehicles market, which became somewhat popular towards the middle of the decade, underwent major advances notably typified by such cars as the Toyota Prius, Ford Escape, and the Honda Insight though by December 2010 they accounted for less than 0.5% of the world cars.",2000,Technology,
1538,"Many more computers and other technologies were implemented in vehicles throughout the decade such as: Xenon HID headlights, GPS, DVD players, self-diagnosing systems, memory systems for car settings, back-up sensors and cameras, in-car media systems, MP3 player compatibility, USB drive compatibility, keyless start and entry, satellite radio, voice-activation, cellphone connectivity, HUD (Head-Up-Display) and infrared cameras. In addition, more safety features were implemented in vehicles throughout the decade such as: advanced pre-collision safety systems, Backup cameras, Blind spot monitor, Adaptive cruise control, Adaptive headlamps, Automatic parking, Lane departure warning systems and the Advanced Automatic Collision Notification system Onstar (on all GM models).",2000,Technology,
